City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kemijarvi,FI,2020-08-19 01:33:56,66.71,27.43,45.81,86,93,4.34
70,Suntar,RU,2020-08-19 01:33:56,62.14,117.63,65.26,43,100,4.14
71,Oktyabrskiy,RU,2020-08-19 01:33:57,54.48,53.47,45.03,90,0,6.96
72,Kingaroy,AU,2020-08-19 01:33:57,-26.53,151.83,75.0,23,0,18.34
73,Sampit,ID,2020-08-19 01:33:57,-2.53,112.95,83.93,64,57,5.3
74,Praya,CV,2020-08-19 01:33:57,14.92,-23.51,80.6,88,40,2.24
75,Talnakh,RU,2020-08-19 01:33:58,69.49,88.4,64.4,48,5,6.71
76,Muisne,EC,2020-08-19 01:33:58,0.6,-80.03,72.68,86,100,11.03
77,Vaini,TO,2020-08-19 01:33:58,-21.2,-175.2,73.4,100,90,14.99
78,Lagoa,PT,2020-08-19 01:33:58,39.05,-27.98,70.45,77,31,21.59
79,Aparecida Do Taboado,BR,2020-08-19 01:33:59,-20.09,-51.09,77.65,36,1,7.34
80,Hithadhoo,MV,2020-08-19 01:33:59,-0.6,73.08,83.89,73,9,10.36
81,Isangel,VU,2020-08-19 01:33:59,-19.55,169.27,78.8,65,20,8.05
82,Muli,MV,2020-08-19 01:33:59,2.92,73.57,82.15,67,64,4.9
83,Nome,US,2020-08-19 01:33:59,64.5,-165.41,71.01,63,1,5.82
84,San Cristobal,VE,2020-08-19 01:33:59,7.77,-72.22,67.78,92,97,1.48
85,Butaritari,KI,2020-08-19 01:33:59,3.07,172.79,83.79,70,0,9.73
86,Hasaki,JP,2020-08-19 01:34:00,35.73,140.83,90.0,66,75,3.36
87,Udarnyy,RU,2020-08-19 01:34:00,54.34,42.86,48.43,88,0,3.89
88,Arak,IR,2020-08-19 01:34:00,34.09,49.69,60.44,49,0,3.51
89,Namtsy,RU,2020-08-19 01:34:00,62.72,129.67,60.8,36,22,6.71
90,Geraldton,AU,2020-08-19 01:34:00,-28.77,114.6,55.4,82,44,8.05
91,Pacific Grove,US,2020-08-19 01:29:03,36.62,-121.92,84.0,47,90,6.93
92,Yellowknife,CA,2020-08-19 01:34:00,62.46,-114.35,64.4,68,75,8.05
93,Vila Velha,BR,2020-08-19 01:34:01,-20.33,-40.29,73.4,83,40,6.93
94,Baruun-Urt,MN,2020-08-19 01:34:01,46.68,113.28,58.73,51,0,8.39
95,Sumbe,AO,2020-08-19 01:34:01,-11.21,13.84,68.86,88,99,3.42
96,Phuket,TH,2020-08-19 01:34:01,8.0,98.25,86.0,94,40,2.24
97,Dubrovnik,HR,2020-08-19 01:30:32,42.65,18.09,68.0,77,0,2.24
98,Laguna,US,2020-08-19 01:34:01,38.42,-121.42,104.0,24,75,9.17
99,Mataura,NZ,2020-08-19 01:34:02,-46.19,168.86,55.99,80,89,7.0
100,Klaksvik,FO,2020-08-19 01:34:02,62.23,-6.59,44.6,93,100,4.7
101,Saint George,US,2020-08-19 01:30:06,37.1,-113.58,109.4,10,1,12.75
102,Clyde River,CA,2020-08-19 01:34:02,70.47,-68.59,48.2,93,90,6.93
103,Sorland,NO,2020-08-19 01:34:02,67.67,12.69,52.43,81,100,9.22
104,Palmas Bellas,PA,2020-08-19 01:34:02,9.23,-80.09,77.0,94,100,7.0
105,Kampot,KH,2020-08-19 01:34:03,10.62,104.18,84.2,79,40,8.05
106,Husavik,IS,2020-08-19 01:34:03,66.04,-17.34,50.0,76,90,2.24
107,New Norfolk,AU,2020-08-19 01:34:03,-42.78,147.06,54.0,77,64,4.0
108,Nemuro,JP,2020-08-19 01:34:03,43.32,145.57,77.0,73,20,13.87
109,Acapulco,MX,2020-08-19 01:32:41,16.86,-99.89,84.2,74,90,11.41
110,Barrow,US,2020-08-19 01:34:04,71.29,-156.79,57.2,71,1,4.7
111,Albany,US,2020-08-19 01:34:04,42.6,-73.97,70.0,90,0,4.56
112,Georgetown,MY,2020-08-19 01:29:09,5.41,100.34,82.4,88,20,3.36
113,Tubmanburg,LR,2020-08-19 01:34:04,6.87,-10.82,72.91,95,100,3.33
114,Fairbanks,US,2020-08-19 01:33:26,64.84,-147.72,75.2,33,90,4.7
115,Yichang,CN,2020-08-19 01:34:04,30.71,111.28,87.01,60,15,1.01
116,Oktyabrskoye,RU,2020-08-19 01:34:04,43.06,44.74,51.8,93,0,6.71
117,Mandalgovi,MN,2020-08-19 01:34:04,45.76,106.27,60.6,63,46,17.31
118,Lasa,IT,2020-08-19 01:34:04,46.62,10.7,57.0,93,75,1.12
119,Wanning,CN,2020-08-19 01:34:04,18.8,110.4,85.71,71,100,5.17
120,Dikson,RU,2020-08-19 01:34:05,73.51,80.55,54.52,72,0,10.02
121,Poum,NC,2020-08-19 01:34:05,-20.23,164.02,69.39,69,6,2.59
122,Atuona,PF,2020-08-19 01:33:29,-9.8,-139.03,79.07,73,1,20.74
123,East London,ZA,2020-08-19 01:34:05,-33.02,27.91,54.84,62,88,28.88
124,Port Elizabeth,ZA,2020-08-19 01:34:05,-33.92,25.57,50.0,87,75,19.46
125,Tautira,PF,2020-08-19 01:34:05,-17.73,-149.15,86.0,58,20,5.82
126,Cabo San Lucas,MX,2020-08-19 01:34:05,22.89,-109.91,86.0,62,90,5.82
127,San Jose,US,2020-08-19 01:32:00,37.34,-121.89,95.0,21,75,12.75
128,Nioro,GM,2020-08-19 01:34:05,13.35,-15.75,78.03,89,100,6.06
129,Rehoboth,NA,2020-08-19 01:34:05,-23.32,17.08,30.7,90,0,4.56
130,Pevek,RU,2020-08-19 01:34:06,69.7,170.31,44.06,71,53,12.3
131,Yar-Sale,RU,2020-08-19 01:34:06,66.83,70.83,57.13,77,100,15.05
132,Poyarkovo,RU,2020-08-19 01:34:06,49.6,128.68,64.22,50,0,13.98
133,Cacapava Do Sul,BR,2020-08-19 01:34:06,-30.51,-53.49,52.92,100,13,4.12
134,Makakilo City,US,2020-08-19 01:34:06,21.35,-158.09,84.2,54,90,12.75
135,Chokurdakh,RU,2020-08-19 01:34:06,70.63,147.92,38.44,93,100,10.07
136,Aginskoye,RU,2020-08-19 01:34:06,51.1,114.53,62.19,52,51,4.99
137,Camaqua,BR,2020-08-19 01:34:07,-30.85,-51.81,58.1,96,70,3.89
138,Soderhamn,SE,2020-08-19 01:34:07,61.3,17.06,55.99,98,30,3.11
139,Verkh-Usugli,RU,2020-08-19 01:34:07,52.7,115.17,63.32,53,16,3.27
140,Freeport,US,2020-08-19 01:34:07,40.66,-73.58,75.2,78,20,9.17
141,Bethel,US,2020-08-19 01:30:57,41.37,-73.41,66.0,82,1,4.18
142,Manavalakurichi,IN,2020-08-19 01:34:07,8.13,77.3,80.6,83,20,4.7
143,Naze,JP,2020-08-19 01:34:07,28.37,129.48,91.4,66,20,5.82
144,Portree,GB,2020-08-19 01:34:07,57.41,-6.19,57.0,91,11,2.82
145,Ayr,GB,2020-08-19 01:34:07,55.46,-4.63,60.8,93,75,2.75
146,Kuytun,RU,2020-08-19 01:34:08,54.34,101.5,63.61,64,0,8.28
147,Hami,CN,2020-08-19 01:34:08,42.8,93.45,87.26,13,100,5.3
148,Simbahan,PH,2020-08-19 01:34:08,6.3,120.58,83.75,68,83,4.7
149,Gornopravdinsk,RU,2020-08-19 01:34:08,60.05,69.9,54.19,91,100,2.46
150,Ulaangom,MN,2020-08-19 01:34:08,49.98,92.07,66.92,54,100,3.62
151,Caravelas,BR,2020-08-19 01:34:08,-17.71,-39.25,72.25,85,7,6.46
152,Fortuna,US,2020-08-19 01:34:09,40.6,-124.16,72.0,65,3,1.99
153,Codrington,AU,2020-08-19 01:34:09,-38.27,141.97,53.55,73,96,16.55
154,Lebu,CL,2020-08-19 01:34:09,-37.62,-73.65,44.94,74,0,13.58
155,Faanui,PF,2020-08-19 01:34:09,-16.48,-151.75,78.01,76,0,19.19
156,Usinsk,RU,2020-08-19 01:34:09,65.99,57.53,53.51,89,66,8.79
157,Fomboni,KM,2020-08-19 01:34:09,-12.28,43.74,76.15,74,100,5.41
158,Mugur-Aksy,RU,2020-08-19 01:34:09,50.35,90.5,50.65,76,100,6.49
159,Mehamn,NO,2020-08-19 01:34:10,71.04,27.85,49.71,83,96,6.15
160,Kenai,US,2020-08-19 01:34:10,60.55,-151.26,62.6,59,90,9.17
161,Thompson,CA,2020-08-19 01:34:10,55.74,-97.86,64.4,72,75,8.05
162,Provideniya,RU,2020-08-19 01:34:10,64.38,-173.3,57.2,62,87,11.18
163,Urengoy,RU,2020-08-19 01:34:10,65.97,78.37,62.98,56,83,13.71
164,Krasnyy Chikoy,RU,2020-08-19 01:34:10,50.36,108.75,61.93,62,59,3.38
165,Gat,IL,2020-08-19 01:34:10,31.61,34.76,75.99,80,0,4.68
166,Castro Alves,BR,2020-08-19 01:34:11,-12.77,-39.43,65.73,97,21,3.76
167,Lorengau,PG,2020-08-19 01:34:11,-2.02,147.27,84.15,73,21,9.31
168,Lyngseidet,NO,2020-08-19 01:34:11,69.58,20.22,50.0,87,90,13.87
169,Castro,BR,2020-08-19 01:34:11,-24.79,-50.01,57.72,93,90,6.42
170,Taoudenni,ML,2020-08-19 01:34:11,22.68,-3.98,97.86,31,0,7.05
171,Xichang,CN,2020-08-19 01:30:50,27.9,102.26,61.14,81,100,1.14
172,Maryborough,AU,2020-08-19 01:34:11,-25.53,152.7,79.75,41,0,8.88
173,Chuy,UY,2020-08-19 01:34:12,-33.7,-53.46,50.83,91,0,5.93
174,Safaga,EG,2020-08-19 01:34:12,26.73,33.94,86.0,45,0,13.87
175,Grindavik,IS,2020-08-19 01:34:12,63.84,-22.43,51.8,93,75,13.87
176,Katsuura,JP,2020-08-19 01:34:12,35.13,140.3,90.0,74,75,5.82
177,Maxixe,MZ,2020-08-19 01:34:12,-23.86,35.35,68.74,80,56,8.16
178,Estacion Coahuila,MX,2020-08-19 01:34:12,32.19,-115.0,111.0,16,5,10.29
179,Emerald,AU,2020-08-19 01:34:12,-23.53,148.17,82.4,28,0,8.05
180,Ancud,CL,2020-08-19 01:34:12,-41.87,-73.82,39.0,78,10,5.82
181,Mahebourg,MU,2020-08-19 01:33:30,-20.41,57.7,71.6,68,40,10.29
182,Qasigiannguit,GL,2020-08-19 01:34:12,68.82,-51.19,48.2,49,75,5.48
183,Bonthe,SL,2020-08-19 01:34:13,7.53,-12.51,76.42,90,91,7.78
184,Dauriya,RU,2020-08-19 01:34:13,49.93,116.87,61.61,47,0,5.12
185,Shakawe,BW,2020-08-19 01:34:13,-18.37,21.85,49.82,43,0,10.13
186,Dingle,PH,2020-08-19 01:34:13,11.0,122.67,83.48,78,100,6.04
